Brand,Category,Item,Serving Size,Calories,Total Fat,Cholesterol (mg), Sodium (mg), Total Carbohydrates (g) , Sugars (g), Protein (g) ,Caffeine (mg)
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310,5,67,0,250,62,5,110
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Whole Milk,340,2.5,67,10,250,62,5,110
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Soymilk,310,0.5,65,0,240,60,4,110
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420,3,90,5,340,84,7,145
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Whole Milk,460,2,90,15,340,84,7,145
Starbucks,Coffee & Tea,Java Chip (Without Whipped Cream),Soymilk,430,1,88,0,330,80,6,145
Starbucks,Coffee & Tea,Coffee,Tall Nonfat Milk,90,4,20,0,160,19,3,70
Starbucks,Coffee & Tea,Coffee,Grande Nonfat Milk,120,2.5,26,0,210,26,3,95
Starbucks,Coffee & Tea,Coffee,Venti Nonfat Milk,160,1,34,5,270,33,5,120
Starbucks,Coffee & Tea,Mocha,Tall Nonfat Milk,110,6,24,0,150,23,3,70
Starbucks,Coffee & Tea,Mocha,Grande Nonfat Milk,150,3,33,0,200,30,4,95
Starbucks,Coffee & Tea,Mocha,Venti Nonfat Milk,210,0.1,46,5,280,42,6,130
Starbucks,Coffee & Tea,Caramel,Tall Nonfat Milk,100,2.5,23,0,140,23,3,65
Starbucks,Coffee & Tea,Caramel,Grande Nonfat Milk,150,1.5,33,0,200,32,3,90
Starbucks,Coffee & Tea,Caramel,Venti Nonfat Milk,200,0.1,44,5,270,43,5,120
Starbucks,Coffee & Tea,Java Chip,Tall Nonfat Milk,150,3.5,30,0,170,27,4,70
Starbucks,Coffee & Tea,Java Chip,Grande Nonfat Milk,220,1.5,43,0,240,39,5,105
Starbucks,Coffee & Tea,Java Chip,Venti Nonfat Milk,290,0.1,58,5,320,52,7,165
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Tall Nonfat Milk,170,5,39,0,140,38,3,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Whole Milk,190,2.5,38,10,140,37,3,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Soymilk,170,3,37,0,135,35,3,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Grande Nonfat Milk,230,5,53,0,190,52,4,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Whole Milk,260,4,53,10,190,52,4,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Soymilk,240,4,51,0,180,49,3,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Venti Nonfat Milk,310,7,70,5,260,69,6,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Whole Milk,350,6,70,15,260,68,6,0
Starbucks,Beverages,Strawberries & Creme (Without Whipped Cream),Soymilk,320,5,67,0,250,64,5,0
Starbucks,Beverages,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170,10,39,0,160,38,4,0
Starbucks,Beverages,Vanilla Bean (Without Whipped Cream),Whole Milk,200,8,39,10,160,38,3,0
Starbucks,Beverages,Vanilla Bean (Without Whipped Cream),Soymilk,180,0.1,37,0,160,35,3,0
Starbucks,Beverages,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240,0.1,56,5,230,55,5,0
